Date,ticker,name,Close,High,Low,Open,Volume
2015-01-02,CRM,Salesforce,58.232547760009766,59.402308899455605,57.51495906751898,58.88132344446412,2796400
2015-01-05,CRM,Salesforce,57.18073654174805,58.2325431551675,56.856350600083935,57.603424094388444,3688200
2015-01-06,CRM,Salesforce,56.22724151611328,57.55428153776258,55.588294098386754,57.19057491142862,3174900
2015-01-07,CRM,Salesforce,55.961830139160156,56.96448413623113,55.637440426950455,56.8072052984449,4284300
2015-01-08,CRM,Salesforce,57.593597412109375,57.780364853430974,56.19774449595786,56.35502707790002,3756600
2015-01-09,CRM,Salesforce,57.17091369628906,58.48812541014063,56.78754675155569,58.153907400661176,6875300
2015-01-12,CRM,Salesforce,56.74821853637695,57.603421895193726,56.54179078594237,57.45597510909312,2724500
2015-01-13,CRM,Salesforce,56.98414993286133,58.52744984868846,56.32554215837041,57.39700551552016,3509100
2015-01-14,CRM,Salesforce,56.276390075683594,56.797375543689654,55.42118659522638,56.43366891978864,3098400
2015-01-15,CRM,Salesforce,54.17279052734375,56.56146583229271,54.09414922109206,56.1780988388754,4821000
2015-01-16,CRM,Salesforce,55.67676544189453,55.75540674186898,54.01550735308183,54.025335640666846,3236700
2015-01-20,CRM,Salesforce,56.31571578979492,56.58112456618773,54.86088541350463,55.73574929689738,6521500
2015-01-21,CRM,Salesforce,56.72856903076172,57.55428393975318,55.87336550889244,56.02081607292877,3544900
2015-01-22,CRM,Salesforce,57.01363754272461,57.465813768105804,56.19775092969789,56.92516795516537,5481500
2015-01-23,CRM,Salesforce,57.62309265136719,58.0457802644129,56.797377750280646,57.01363757551061,3887300
2015-01-26,CRM,Salesforce,58.76336669921875,58.95996620428272,57.40683798890704,57.53462447984851,4753200
2015-01-27,CRM,Salesforce,56.80720901489258,57.89833266396588,56.26656320899616,57.89833266396588,4150700
2015-01-28,CRM,Salesforce,55.391700744628906,57.50513897616095,55.391700744628906,57.4363297081412,4683400
2015-01-29,CRM,Salesforce,57.111934661865234,57.26921350990822,54.900198751985066,55.83404355278807,4424500
2015-01-30,CRM,Salesforce,55.4900016784668,57.151259878028334,55.41136037324967,56.522144435586654,3817400
2015-02-02,CRM,Salesforce,56.30588150024414,56.355034188214226,54.507004865282596,55.91268624524873,3495200
2015-02-03,CRM,Salesforce,57.61325454711914,57.66240347634509,56.2567223515099,56.67940989253435,3474200
2015-02-04,CRM,Salesforce,57.98679733276367,58.45863383697651,57.220059732322504,57.44614782289387,3013100
2015-02-05,CRM,Salesforce,58.25220489501953,58.46846470852844,57.7607080460072,57.947479248518846,2513000
2015-02-06,CRM,Salesforce,58.163734436035156,58.684723638020024,57.65258102060683,58.25220401751762,2714200
2015-02-09,CRM,Salesforce,56.99397659301758,57.97697033297957,56.8366977446166,57.84918009683392,2879000
2015-02-10,CRM,Salesforce,57.790199279785156,58.163734177876904,57.22989318282423,57.5051302129599,3093700
2015-02-11,CRM,Salesforce,57.80002975463867,58.09492711949339,57.61326229852282,57.81969007893878,3413700
2015-02-12,CRM,Salesforce,60.21820068359375,60.296841990311066,58.21289611001275,58.281705378478456,5284800
