Date,ticker,name,Close,High,Low,Open,Volume
2015-01-02,INTC,Intel,27.89645767211914,28.510240523597794,27.70465034811034,28.13429688077165,23605600
2015-01-05,INTC,Intel,27.581893920898438,27.965508570906074,27.57421998891968,27.773701245902256,32785000
2015-01-06,INTC,Intel,27.067852020263672,27.79672052820343,27.05250708120992,27.68163787542212,30847600
2015-01-07,INTC,Intel,27.63559913635254,27.673960015168987,27.060177173863448,27.344051189202112,27725200
2015-01-08,INTC,Intel,28.149641036987305,28.387483165789202,27.819732214704555,27.904127903206756,31765400
2015-01-09,INTC,Intel,28.20334243774414,28.47187439792533,27.92714240053192,28.211016368269096,22850500
2015-01-12,INTC,Intel,28.08058738708496,28.387480236010955,27.796713404214046,28.310758487153013,29400800
2015-01-13,INTC,Intel,28.00387191772461,28.76343027942643,27.842754452946206,28.287745964250522,31478000
2015-01-14,INTC,Intel,27.888782501220703,28.31843194154233,27.551202679591306,27.873440491519368,34250300
2015-01-15,INTC,Intel,27.766016006469727,28.29540588100953,27.643259485528645,28.026873979312818,47181800
2015-01-16,INTC,Intel,27.96550178527832,28.126619196768143,27.244304545138878,27.71231477286848,62812200
2015-01-20,INTC,Intel,27.68930435180664,27.973178360991593,27.290344781919675,27.696975356704662,35929400
2015-01-21,INTC,Intel,27.988521575927734,28.141968005175954,27.443789532506397,27.50516634815736,27442600
2015-01-22,INTC,Intel,28.318437576293945,28.387488340679027,27.72767057583222,28.049908451878593,31809900
2015-01-23,INTC,Intel,27.96550178527832,28.410493149404516,27.91179598144838,28.356787345574578,27427100
2015-01-26,INTC,Intel,27.474483489990234,27.85042422447754,27.290347162156298,27.766028529501472,30906800
2015-01-27,INTC,Intel,26.23158073425293,26.638214439785166,25.740554225514764,26.392701185416087,58456200
2015-01-28,INTC,Intel,25.917016983032227,26.622869792272155,25.870985076543,26.446407321649392,34929100
2015-01-29,INTC,Intel,26.24690818786621,26.30061399354873,25.671486332627563,25.96303422543761,29569400
2015-01-30,INTC,Intel,25.349254608154297,26.078122966217073,25.31856473635755,25.855625785811558,38719700
2015-02-02,INTC,Intel,25.8172664642334,25.893988221598416,25.050037183593446,25.364601071585927,38733800
2015-02-03,INTC,Intel,25.855632781982422,26.124161915996005,25.019352573092625,25.91700961543636,36038300
2015-02-04,INTC,Intel,25.963809967041016,26.1492670579478,25.731990814212885,26.0179010044429,25052800
