Date,ticker,name,Close,High,Low,Open,Volume
2016-09-13,BOTZ,Robotics&AI ETF,14.164006233215332,14.164006233215332,14.164006233215332,14.164006233215332,300
2016-09-14,BOTZ,Robotics&AI ETF,14.164006233215332,14.164006233215332,14.164006233215332,14.164006233215332,0
2016-09-15,BOTZ,Robotics&AI ETF,14.164006233215332,14.164006233215332,14.164006233215332,14.164006233215332,0
2016-09-16,BOTZ,Robotics&AI ETF,14.106429100036621,14.125621960109564,14.106429100036621,14.125621960109564,1500
2016-09-19,BOTZ,Robotics&AI ETF,14.240775108337402,14.250371537520275,14.217744044364851,14.221582249971657,700
2016-09-20,BOTZ,Robotics&AI ETF,14.365527153015137,14.365527153015137,14.365527153015137,14.365527153015137,300
2016-09-21,BOTZ,Robotics&AI ETF,14.365527153015137,14.365527153015137,14.365527153015137,14.365527153015137,0
2016-09-22,BOTZ,Robotics&AI ETF,14.701393127441406,14.768567218384796,14.672604754274744,14.758970788940614,4000
2016-09-23,BOTZ,Robotics&AI ETF,14.653412818908691,14.71098956527485,14.62462353055973,14.71098956527485,9500
2016-09-26,BOTZ,Robotics&AI ETF,14.424063682556152,14.53825808607918,14.424063682556152,14.53825808607918,2900
2016-09-27,BOTZ,Robotics&AI ETF,14.595834732055664,16.006477789242936,14.506589588073064,14.55744993054146,3600
2016-09-28,BOTZ,Robotics&AI ETF,14.691797256469727,14.691797256469727,14.595834794689491,14.672604398047335,3000
2016-09-29,BOTZ,Robotics&AI ETF,14.643818855285645,14.691800095447443,14.634222424220079,14.691800095447443,3900
2016-09-30,BOTZ,Robotics&AI ETF,14.691797256469727,14.691797256469727,14.586238365478296,14.66300796883614,4100
2016-10-03,BOTZ,Robotics&AI ETF,14.640935897827148,14.739776549379357,14.576640924772692,14.739776549379357,3600
2016-10-04,BOTZ,Robotics&AI ETF,14.634220123291016,14.768567391587508,14.634220123291016,14.768567391587508,10900
2016-10-05,BOTZ,Robotics&AI ETF,14.76856803894043,14.787759983729234,14.758971608963062,14.758971608963062,1500
2016-10-06,BOTZ,Robotics&AI ETF,14.720587730407715,14.778164483562664,14.687001138539662,14.778164483562664,3800
2016-10-07,BOTZ,Robotics&AI ETF,14.730181694030762,14.739777207838904,14.6822004643267,14.730181694030762,8800
2016-10-10,BOTZ,Robotics&AI ETF,14.799274444580078,14.8261437144375,14.793517136110289,14.816547285155316,11000
2016-10-11,BOTZ,Robotics&AI ETF,14.68220043182373,14.835739634404158,14.68220043182373,14.835739634404158,6200
2016-10-12,BOTZ,Robotics&AI ETF,14.624625205993652,14.691799304670981,14.574724865337801,14.691799304670981,5500
2016-10-13,BOTZ,Robotics&AI ETF,14.509469032287598,14.509469032287598,14.394314625106649,14.471084229893949,6400
2016-10-14,BOTZ,Robotics&AI ETF,14.509469032287598,14.56704669346101,14.509469032287598,14.557450264071129,3200
2016-10-17,BOTZ,Robotics&AI ETF,14.557450294494629,14.595835096968498,14.538257435674755,14.567046723904566,10700
2016-10-18,BOTZ,Robotics&AI ETF,14.672603607177734,14.749373206397612,14.663967187419516,14.749373206397612,3500
2016-10-19,BOTZ,Robotics&AI ETF,14.643818855285645,14.739780420443203,14.634222424220079,14.739780420443203,6300
2016-10-20,BOTZ,Robotics&AI ETF,14.68220043182373,14.68220043182373,14.63421920222589,14.643815631178624,8900
2016-10-21,BOTZ,Robotics&AI ETF,14.68220043182373,14.68220043182373,14.665886685637247,14.665886685637247,500
2016-10-24,BOTZ,Robotics&AI ETF,14.68220043182373,14.816546776498686,14.663007573918259,14.816546776498686,12500
2016-10-25,BOTZ,Robotics&AI ETF,14.557450294494629,14.634219899442368,14.538257435674755,14.634219899442368,15100
2016-10-26,BOTZ,Robotics&AI ETF,14.557450294494629,14.567046723904566,14.51906549202076,14.544974753228535,4100
2016-10-27,BOTZ,Robotics&AI ETF,14.39431381225586,14.490276270403896,14.39431381225586,14.490276270403896,22100
2016-10-28,BOTZ,Robotics&AI ETF,14.451891899108887,14.480680271341404,14.41350709774358,14.451891899108887,3600
2016-10-31,BOTZ,Robotics&AI ETF,14.413506507873535,14.490276107462368,14.413506507873535,14.490276107462368,2600
2016-11-01,BOTZ,Robotics&AI ETF,14.346332550048828,14.432698579149433,14.346332550048828,14.432698579149433,5700
2016-11-02,BOTZ,Robotics&AI ETF,14.211986541748047,14.307948086767885,14.211986541748047,14.307948086767885,10200
2016-11-03,BOTZ,Robotics&AI ETF,14.269563674926758,14.384718081190888,14.232138881836411,14.384718081190888,3200
2016-11-04,BOTZ,Robotics&AI ETF,14.221583366394043,14.288757460781591,14.144813757236212,14.288757460781591,7200
2016-11-07,BOTZ,Robotics&AI ETF,14.375121116638184,14.46148714691202,14.370323817325936,14.46148714691202,5800
2016-11-08,BOTZ,Robotics&AI ETF,14.44229793548584,14.45189436625688,14.365528319649538,14.384720266025608,3200
